cardname,cardtext,mana,atk,def,dmg,heal,catk,to
Cruel Taskmaster,Battlecry: Deal 1 damage to a minion and give it +2 Attack.,2,2,2,1,,2,min
Inner Rage,Deal 1 damage to a minion and give it +2 Attack.,0,0,0,1,,2,min
Drain Life,Deal 2 damage. Restore #2 Health to your hero.,3,0,0,2,2,,any/you hero
Demonfire,"Deal 2 damage to a minion.   If it’s a friendly Demon, give it +2/+2 instead.",2,0,0,2,2,2,"min/you, min"
Holy Nova,Deal 2 damage to all enemies.  Restore #2 Health to all  friendly characters.,5,0,0,2,2,,"all, en/all, you"
Holy Fire,Deal 5 damage.  Restore #5 Health to your hero.,6,0,0,5,5,,any/you hero
Mortal Strike,"Deal 4 damage.  If your hero has 12 or less Health, deal 6 damage instead.",4,0,0,4/6,,,any
Bananas,Give a minion +1/+1.,1,0,0,,1,1,min
Healing Totem,"At the end of your turn, restore 1 Health to all friendly minions.",1,0,2,,,1,"all, you, min"
Nightmare,"Give a minion +5/+5.  At the start of your next turn, destroy it.",0,0,0,,5,5,"you, min"
Repentance,"Secret: When your opponent plays a minion, reduce its Health to 1.",1,0,0,,>1,,"en, min"
Sacrificial Pact,Destroy a Demon. Restore #5 Health to your hero.,0,0,0,,5,,"you, hero"
Abusive Sergeant,Battlecry: Give a minion +2 Attack this turn.,1,2,1,,,2,min
Aldor Peacekeeper,Battlecry: Change an enemy minion's Attack to 1.,3,3,3,,,>1,"en, min"
Alexstrasza,Battlecry: Set a hero's remaining Health to 15.,9,8,8,,>15,,"en, hero"
Ancestral Healing,Restore a minion to full Health and give it Taunt.,0,0,0,,full,,min
Ancient Mage,Battlecry: Give adjacent minions Spell Damage +1.,4,2,5,,,,
Ancient of Lore,Choose One - Draw 2 cards; or Restore 5 Health.,7,5,5,,5,,any
Ancient of War,Choose One - Taunt and +5 Health; or +5 Attack.,7,5,5,,5,5,self/self
Arcane Golem,Charge. Battlecry: Give your opponent a Mana Crystal.,3,4,2,,,,
Argent Protector,Battlecry: Give a friendly minion Divine Shield.,2,2,2,,,,
Auchenai Soulpriest,Your cards and powers that restore Health now deal damage instead.,4,3,5,,,,
Bestial Wrath,Give a Beast +2 Attack and Immune this turn.,1,0,0,,,2,beast
Bite,Give your hero +4 Attack this turn and 4 Armor.,4,0,0,,4,4,"you, hero"
Blessing of Kings,Give a minion +4/+4. (+4 Attack/+4 Health),4,0,0,,4,4,min
Blessing of Might,Give a minion +3 Attack.,1,0,0,,,3,min
Blood Imp,"Stealth. At the end of your turn, give another random friendly minion +1 Health.",1,0,1,,1,,"you, ran, min"
Bloodlust,Give your minions +3 Attack this turn.,5,0,0,,,3,"you, all, min"
Captain Greenskin,Battlecry: Give your weapon +1/+1.,5,5,4,,,,
Cenarius,Choose One - Give your other minions +2/+2; or Summon two 2/2 Treants with Taunt.,9,5,8,,2,2,"you, all, min"
Charge,Give a friendly minion +2 Attack and Charge.,3,0,0,,,2,"you, min"
Circle of Healing,Restore #4 Health to ALL minions.,0,0,0,,4,,"all, min"
Claw,Give your hero +2 Attack this turn and 2 Armor.,1,0,0,,2,2,"you, hero"
Cold Blood,Give a minion +2 Attack. Combo: +4 Attack instead.,1,0,0,,,2/4,min
Coldlight Seer,Battlecry: Give ALL other Murlocs +2 Health.,3,2,3,,2,,"all, murloc"
Commanding Shout,Your minions can't be reduced below 1 Health this turn.  Draw a card.,2,0,0,,,,
Conceal,Give your minions Stealth until your next turn.,1,0,0,,,,
Crazed Alchemist,Battlecry: Swap the Attack and Health of a minion.,2,2,2,,,,
Dark Iron Dwarf,Battlecry: Give a minion +2 Attack this turn.,4,4,4,,,2,min
Darkscale Healer,Battlecry: Restore 2 Health to all friendly characters.,5,4,5,,2,,"all, you"
Deadly Poison,Give your weapon +2 Attack.,1,0,0,,,,
Defender of Argus,Battlecry: Give adjacent minions +1/+1 and Taunt.,4,2,3,,1,1,"mult, you, min"
Divine Spirit,Double a minion's Health.,2,0,0,,x2,,min
Druid of the Claw,Choose One - Charge; or +2 Health and Taunt.,5,4,4,,2,,self
Earthen Ring Farseer,Battlecry: Restore 3 Health.,3,3,3,,3,,any
Equality,Change the Health of ALL minions to 1.,2,0,0,,>1,,"all, min"
Guardian of Kings,Battlecry: Restore 6 Health to your hero.,7,5,6,,6,,"you, hero"
Hand of Protection,Give a minion Divine Shield.,1,0,0,,,,
Healing Touch,Restore #8 Health.,3,0,0,,8,,any
Heroic Strike,Give your hero +4 Attack this turn.,2,0,0,,,4,"you, hero"
Holy Light,Restore #6 Health.,2,0,0,,6,,
Houndmaster,Battlecry: Give a friendly Beast +2/+2 and Taunt.,4,4,3,,2,2,
Humility,Change a minion's Attack to 1.,1,0,0,,,>1,
Hunter's Mark,Change a minion's Health to 1.,0,0,0,,>1,,
Inner Fire,Change a minion's Attack to be equal to its Health.,1,0,0,,,,
King Mukla,Battlecry: Give your opponent 2 Bananas.,3,5,5,,,,
Lay on Hands,Restore #8 Health. Draw 3 cards.,8,0,0,,8,,
Lightspawn,This minion's Attack is always equal to its Health.,4,0,5,,,,
Lightwarden,"Whenever a character is healed, gain +2 Attack.",1,1,2,,,,
Lightwell,"At the start of your turn, restore 3 Health to a damaged friendly character.",2,0,5,,3,,
Mark of Nature,Choose One - Give a minion +4 Attack; or +4 Health and Taunt.,3,0,0,,4,4,
Mark of the Wild,Give a minion Taunt and +2/+2. (+2 Attack/+2 Health),2,0,0,,2,2,
Master of Disguise,Battlecry: Give a friendly minion Stealth.,4,4,4,,,,
Master Swordsmith,"At the end of your turn, give another random friendly minion +1 Attack.",2,1,3,,,1,
Northshire Cleric,"Whenever a minion is healed, draw a card.",1,1,3,,,,
Power of the Wild,Choose One - Give your minions +1/+1; or Summon a 3/2 Panther.,2,0,0,,1,1,
Power Overwhelming,"Give a friendly minion +4/+4 until end of turn. Then, it dies. Horribly.",1,0,0,,4,4,
Power Word: Shield,Give a minion +2 Health.Draw a card.,1,0,0,,2,,
Priestess of Elune,Battlecry: Restore 4 Health to your hero.,6,5,4,,4,,
Prophet Velen,Double the damage and healing of your spells and Hero Power.,7,7,7,x2,,,
Rampage,Give a damaged minion +3/+3.,2,0,0,,3,3,
Redemption,"Secret: When one of your minions dies, return it to life with 1 Health.",1,0,0,,,,
Rockbiter Weapon,Give a friendly character +3 Attack this turn.,1,0,0,,,3,
Savage Roar,Give your characters +2 Attack this turn.,3,0,0,,,2,
Shattered Sun Cleric,Battlecry: Give a friendly minion +1/+1.,3,3,2,,1,1,
Siphon Soul,Destroy a minion. Restore #3 Health to your hero.,6,0,0,,3,,
Soul of the Forest,"Give your minions ""Deathrattle: Summon a 2/2 Treant.""",4,0,0,,,,
Sunfury Protector,Battlecry: Give adjacent minions Taunt.,2,2,3,,,,
Sword of Justice,"Whenever you summon a minion, give it +1/+1 and this loses 1 Durability.",3,1,5,,1,1,
Temple Enforcer,Battlecry: Give a friendly minion +3 Health.,6,6,6,,3,,
Totemic Might,Give your Totems +2 Health.,0,0,0,,2,,
Truesilver Champion,"Whenever your hero attacks, restore 2 Health to it.",4,4,2,,2,,
Twilight Drake,Battlecry: Gain +1 Health for each card in your hand.,4,4,1,,,,
Upgrade!,"If you have a weapon, give it +1/+1.  Otherwise equip a 1/3 weapon.",1,0,0,,,,
Void Terror,Battlecry: Destroy the minions on either side of this minion and gain their Attack and Health.,3,3,3,,,,
Voodoo Doctor,Battlecry: Restore 2 Health.,1,2,1,,2,,any
Warsong Commander,"Whenever you summon a minion with 3 or less Attack, give it Charge.",3,2,3,,,,
Windfury,Give a minion Windfury.,2,0,0,,,,
Windspeaker,Battlecry: Give a friendly minion Windfury.,4,3,3,,,,
Young Priestess,"At the end of your turn, give another random friendly minion +1 Health.",1,2,1,,1,,
Ironforge Rifleman,Battlecry: Deal 1 damage.,3,2,2,1,,,any
Moonfire,Deal 1 damage.,0,0,0,1,,,any
Elven Archer,Battlecry: Deal 1 damage.,1,1,1,1,,,any
Shiv,Deal 1 damage. Draw a card.,2,0,0,1,,,any
Shield Slam,Deal 1 damage to a minion for each Armor you have.,1,0,0,1,,,min
Wrath,Deal 1 damage to a minion. Draw a card.,0,0,0,1,,,min
Mortal Coil,"Deal 1 damage to a minion. If that kills it, draw a card.",1,0,0,1,,,min
Knife Juggler,"After you summon a minion, deal 1 damage to a random enemy.",2,3,2,1,,,"mult, en, ran"
Arcane Explosion,Deal 1 damage to all enemy minions.,2,0,0,1,,,"all, en, min"
Fan of Knives,Deal 1 damage to all enemy minions. Draw a card.,3,0,0,1,,,"all, en, min"
Whirlwind,Deal 1 damage to ALL minions.,1,0,0,1,,,"all, min"
Wild Pyromancer,"After you cast a spell, deal 1 damage to ALL minions.",2,3,2,1,,,"all, min"
Dread Infernal,Battlecry: Deal 1 damage to ALL other characters.,6,6,6,1,,,all
Frost Shock,Deal 1 damage to an enemy character and Freeze it.,1,0,0,1,,,en
Earth Shock,"Silence a minion, then deal 1 damage to it.",1,0,0,1,,,min
Cone of Cold,"Freeze a minion and the minions next to it, and deal 1 damage to them.",4,0,0,1,,,"mult, min, en"
Arcane Shot,Deal 2 damage.,1,0,0,2,,,any
Holy Smite,Deal 2 damage.,1,0,0,2,,,any
Keeper of the Grove,Choose One - Deal 2 damage; or Silence a minion.,4,2,4,2,,,any
Shadowform,Your Hero Power becomes 'Deal 2 damage'. If already in Shadowform: 3 damage.,3,0,0,2,,,any
SI:7 Agent,Combo: Deal 2 damage.,3,3,3,2,,,any
Stormpike Commando,Battlecry: Deal 2 damage.,5,4,2,2,,,any
Forked Lightning,Deal 2 damage to 2 random enemy minions. Overload: (2),1,0,0,2,,,"2, en, min, ran"
Bane of Doom,"Deal 2 damage to a character.  If that kills it, summon a random Demon.",5,0,0,2,,,any
Slam,"Deal 2 damage to a minion.  If it survives, draw a card.",2,0,0,2,,,min
Demolisher,"At the start of your turn, deal 2 damage to a random enemy.",3,1,4,2,,,"mult, en, ran"
Abomination,Taunt. Deathrattle: Deal 2 damage to ALL characters.,5,4,4,2,,,all
Consecration,Deal 2 damage to all enemies.,4,0,0,2,,,"all, en"
Explosive Trap,"Secret: When your hero is attacked, deal 2 damage to all enemies.",2,0,0,2,,,"all, en"
Blizzard,Deal 2 damage to all enemy minions and Freeze them.,6,0,0,2,,,"all, en, min"
Starfall,Deal 2 damage to all enemy minions.,0,0,0,2,,,"all, en, min"
Lightning Storm,Deal 2-3 damage to all enemy minions. Overload: (2),3,0,0,2,,,"all, en, min"
Baron Geddon,"At the end of your turn, deal 2 damage to ALL other characters.",7,7,5,2,,,all
Backstab,Deal 2 damage to an undamaged minion.,0,0,0,2,,,"min, nodmg"
Leper Gnome,Deathrattle: Deal 2 damage to the enemy hero.,1,2,1,2,,,"en, hero"
Headcrack,Deal 2 damage to the enemy hero. Combo: Return this to your hand next turn.,3,0,0,2,,,"en, hero"
Cleave,Deal 2 damage to two random enemy minions.,2,0,0,2,,,"2, en, min, ran"
Fire Elemental,Battlecry: Deal 3 damage.,6,6,5,3,,,any
Hammer of Wrath,Deal 3 damage.  Draw a card.,4,0,0,3,,,any
Lightning Bolt,Deal 3 damage. Overload: (1),1,0,0,3,,,any
Arcane Missiles,Deal 3 damage randomly split among enemy characters.,1,0,0,3,,,"mult, en, ran"
Mad Bomber,Battlecry: Deal 3 damage randomly split between all other characters.,2,3,2,3,,,"mult, ran"
Frostbolt,Deal 3 damage to a character and Freeze it.,2,0,0,3,,,any
Wrath,Deal 3 damage to a minion.,0,0,0,3,,,min
Hellfire,Deal 3 damage to ALL characters.,4,0,0,3,,,all
Nightblade,Battlecry: Deal 3 damage to the enemy hero.,5,4,4,3,,,"en, hero"
Sinister Strike,Deal 3 damage to the enemy hero.,1,0,0,3,,,"en, hero"
Multi-Shot,Deal 3 damage to two random enemy minions.,4,0,0,3,,,"2, en, min, ran"
Flame Imp,Battlecry: Deal 3 damage to your hero.,1,3,2,3,,,"you, hero"
Ice Lance,"Freeze a character. If it was already Frozen, deal 4 damage instead.",1,0,0,4,,,any
Soulfire,Deal 4 damage. Discard a random card.,0,0,0,4,,,any
Shadow Bolt,Deal 4 damage to a minion.,3,0,0,4,,,min
Flamestrike,Deal 4 damage to all enemy minions.,7,0,0,4,,,"all, en, min"
Snipe,"Secret: When your opponent plays a minion, deal 4 damage to it.",2,0,0,4,,,"en, min"
Lava Burst,Deal 5 damage. Overload: (2),3,0,0,5,,,any
Starfire,Deal 5 damage.  Draw a card.,6,0,0,5,,,any
Ysera Awakens,Deal 5 damage to all characters except Ysera.,2,0,0,5,,,all
Starfall,Deal 5 damage to a minion.,0,0,0,5,,,min
Mind Blast,Deal 5 damage to the enemy hero.,2,0,0,5,,,"en, hero"
Pit Lord,Battlecry: Deal 5 damage to your hero.,4,5,6,5,,,"you, hero"
Fireball,Deal 6 damage.,4,0,0,6,,,any
Avenging Wrath,Deal 8 damage randomly split among enemy characters.,6,0,0,8,,,"mult, en, ran"
Ragnaros the Firelord,"Can't Attack.  At the end of your turn, deal 8 damage to a random enemy.",8,8,8,8,,,"mult, en, ran"
Pyroblast,Deal 10 damage.,10,0,0,10,,,any
Perdition's Blade,Battlecry: Deal 1 damage. Combo: Deal 2 instead.,3,2,2,1/2,,,any
Wrath,Choose One - Deal 3 damage to a minion; or 1 damage and draw a card.,2,0,0,1/3,,,min
Eviscerate,Deal 2 damage. Combo: Deal 4 damage instead.,2,0,0,2/4,,,any
Kill Command,"Deal 3 damage.  If you have a Beast, deal 5 damage instead.",3,0,0,3/5,,,any
Swipe,Deal 4 damage to an enemy and 1 damage to all other enemies.,4,0,0,"4,1",,,"all, en"
Starfall,Choose One - Deal 5 damage to a minion; or 2 damage to all enemy minions.,5,0,0,5/2,,,"min/all, en, min"
Explosive Shot,Deal 5 damage to a minion and 2 damage to adjacent ones.,5,0,0,"5,2",,,"mult, min, en"
Adrenaline Rush,Draw a card. Combo: Draw 2 cards instead.,1,0,0,,,,
Angry Chicken,Enrage: +5 Attack.,1,1,1,,,5,self
Ashbringer,N/A,5,5,3,,,,
Baine Bloodhoof,N/A,4,4,5,,,,
Battle Axe,N/A,1,2,2,,,,
Blood Fury,N/A,3,3,8,,,,
Bloodsail Corsair,Battlecry: Remove 1 Durability from your opponent's weapon.,1,1,2,,,,
Boar,N/A,1,1,1,,,,
Damaged Golem,N/A,1,2,1,,,,
Defender,N/A,1,2,1,,,,
Defias Bandit,N/A,1,2,1,,,,
Devilsaur,N/A,5,5,5,,,,
Dream,Return a minion to its owner's hand.,0,0,0,,,,
Dust Devil,Windfury. Overload: (2),1,3,1,,,,
Emerald Drake,N/A,4,7,6,,,,
Excess Mana,Draw a card. (You can only have 10 Mana in your tray.),0,0,0,,,,
